#  number  propos  accept  outside  inside 
	0009	0	0	 0	9
	0019	0	0	 1	9
	0029	0	0	 2	9
	0039	0	0	 3	9
	0049	0	0	 4	9
	0059	0	0	 5	9
	0069	0	0	 6	9
	0079	0	0	 7	9
	0089	0	0	 8	9
	0099	0	0	 9	9
	00109	0	0	10	9	
	00119	0	0	11	9
	00129	0	0	12	9
	00139	0	0	13	9
	00149	0	0	14	9
	00159	0	0	15	9
	00169	0	0	16	9
	00179	0	0	17	9
	00189	0	0	18	9
	00199	0	0	19	9
	00209	0	0	20	9
	00219	0	0	21	9
	00229	0	0	22	9
	00239	0	0	23	9
	00249	0	0	24	9
	00259	0	0	25	9
	00269	0	0	26	9
	00279	0	0	27	9
	00289	0	0	28	9
	00299	0	0	29	9
	00309	0	0	30	9
	00319	0	0	31	9 


